Air Quality Index (AQI),Carbon Dioxide (CO2) Emissions,Methane (CH4) Emissions,Nitrous Oxide (N2O) Emissions,Particulate Matter (PM2.5 and PM10),Ozone (O3) Concentration,Water Quality Index (WQI),Biodiversity Index,Deforestation Rate,Soil Erosion Rate,Waste Generation Rate,Recycling Rate,Energy Consumption,Renewable Energy Usage,Water Consumption,Land Use Change
57.67700178289655,39.27531174186241,45.17627256533132,43.61088092555598,55.38576410809796,52.59216750476289,50.99099109971964,59.85145693613177,62.68877079799657,63.258448332460176,61.297666841786274,59.70276219113349,49.70459157308911,55.99748083609449,43.6131274065543,40.67382550506745
65.00393440314723,42.18215179997313,61.56163729732572,52.883301196235266,56.41167387449052,44.238325211400266,39.58909436206251,39.615676058909585,49.59953619195114,37.985868956969156,47.247123057609755,62.197896989179675,65.32357411369819,48.11895909841571,52.33831043007529,52.74856655640996
60.96422042582792,37.56346944291706,44.766133979139134,40.94785877789471,57.34368911878119,52.50250432418523,61.41033145396081,31.525836150525006,57.66001267666665,65.11708523939018,55.90039061366646,64.92646160417918,55.39071191635761,57.046943742555456,42.64960179666039,49.53180319576157
46.98326569043861,60.83286848043804,71.96494664026005,42.246107971084875,39.09761017535535,45.99038345966477,46.62262172514376,41.14872263112939,49.80488072857859,46.879618995340465,30.95503419803142,58.51903034715871,30.393841029490584,41.16055847810186,46.305747860966264,39.92161296483686
43.568080544281194,52.18367638878985,50.17802285219914,38.129214127943605,47.78718569159452,43.83068251627216,44.427315145243035,69.10086718168283,36.090672831412654,51.28272003852922,39.17411792760166,57.28779817465375,21.9917996869043,55.83764566151993,47.51606360953949,41.00232936405181
44.02124548926864,51.398573450418766,58.034535992440254,54.91421384238464,71.8359280550388,48.277660760161496,52.1249569209115,40.49274624853681,61.82880602643054,56.869248917492236,35.34734322297104,58.79756515184799,62.15476117800098,48.69065514867051,45.563944479276344,37.748089758234855
62.40923792317015,53.41463169528231,38.130957787666894,42.01472415252216,50.024239948323874,58.04588257842251,53.8252743241649,50.77693338923553,51.800479494017,45.54656419335128,38.673537560490495,41.26836154360915,52.08109821460522,63.06779983074739,54.98095999568675,55.11518891900463
58.25252468477157,75.3703539364922,51.519731812450615,61.033384895575836,38.00670395481517,64.84020428333802,60.785541839558974,31.18146700452509,44.842331202829065,50.62008685506996,50.72160233855564,52.98425341893366,44.99819377605606,55.65584946347775,70.61732317469534,56.465114954386856
62.48341386796959,57.60531096138184,52.36750871811944,36.24144130297242,58.383875738254616,44.021430437239175,53.58062909194797,45.65314804912438,48.23840230677652,31.3817211375608,61.119583889535065,53.38133235706431,26.061257027409553,52.08529706938735,63.34123485795234,47.385655054652844
55.777029664800594,39.076817391389916,57.85219340027753,70.66545503542645,38.73893704383482,47.47426352829829,49.118785060221406,47.759562493942674,55.98826559807951,59.97835571317917,48.35937657116745,50.626211955183194,34.09748899386839,40.20764622666271,63.50461427977281,30.84054855209995
39.982065316573305,48.92968829980659,58.23321934428458,47.86105641618604,47.25918379488624,48.67302483759016,51.19237347624093,70.70854816187818,41.585463913194125,59.82896615899878,61.765979733611374,47.6722353981451,51.36385375809846,47.16614039045957,60.522117875238564,51.61320176408242
67.77662002418424,53.23901771901839,49.592692854130604,57.522098854256484,50.29556142968596,57.61891586836922,59.0500298856699,60.13268831994175,31.917494560956662,55.093235694360075,35.85746455022579,35.748924003427604,43.144528179549454,63.54257467451806,76.78169938711851,50.52485428262964
54.61779443290894,39.36864713611395,51.498865873222954,45.92071340063404,63.733526487029316,34.676452770665264,32.33301581144597,26.3039980389969,34.66431648895413,48.099220463803434,66.00172445675861,63.681940776281365,70.94399096021021,37.80711723913348,54.463773677039256,35.65232202447646
